index,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
597,81213893,Movie,Chal Mere Bhai,David Dhawan,"Sanjay Dutt, Salman Khan, Karisma Kapoor, Dalip Tahil, Sushma Seth, Shakti Kapoor, Nagma, Sonali Bendre, Twinkle Khanna, Ravi Baswani",India,"December 31, 2019",2000,TV-14,132 min,"Comedies, International Movies, Romantic Movies","When a secretary saves her tycoon boss's life, his family hears wedding bells. Problem is, she's already in love – with his younger brother."
598,20255593,Movie,Chupke Chupke,Hrishikesh Mukherjee,"Dharmendra, Sharmila Tagore, Amitabh Bachchan, Jaya Bhaduri, Om Prakash, Asrani, David Abraham, Usha Kiran, Lily Chakravarty, Keshto Mukherjee",India,"December 31, 2019",1975,TV-PG,127 min,"Classic Movies, Comedies, International Movies","Jealous of the high regard in which his new wife holds their brother-in-law, a botany professor stages an elaborate prank that will even the score."
599,70059328,Movie,Deadline: Sirf 24 Ghante,Tanveer Khan,"Irrfan Khan, Konkona Sen Sharma, Rajit Kapoor, Sandhya Mridul, Zakir Hussain, Rajeev Verma, Princey Shukla",India,"December 31, 2019",2006,TV-14,97 min,"Independent Movies, International Movies, Thrillers",A surgeon’s perfect life is rattled when his daughter is taken hostage in their own home and he's given 24 hours to pay a hefty ransom.
600,81213888,Movie,Dhamaal,Indra Kumar,"Sanjay Dutt, Riteish Deshmukh, Arshad Warsi, Aashish Chaudhary, Javed Jaffrey, Prem Chopra, Asrani, Tiku Talsania",India,"December 31, 2019",2007,TV-14,128 min,"Action & Adventure, Comedies, International Movies","Tipped off about buried money in Goa, four ne’er-do-well friends go on the hunt, chased by a police officer who wants the treasure for himself."
601,20255837,Movie,Don,Chandra Barot,"Amitabh Bachchan, Zeenat Aman, Pran, Iftekhar, Om Shivpuri, Satyendra Kapoor, P. Jairaj, Kamal Kapoor, Arpana Choudhry, Helen",India,"December 31, 2019",1978,TV-14,158 min,"Action & Adventure, Classic Movies, Dramas",A man who's a lookalike for a slain mob kingpin is asked by the police to impersonate the gangster and infiltrate his underworld organization.
602,70006866,Movie,Encounter: The Killing,Ajay Phansekar,"Naseeruddin Shah, Tara Deshpande, Akash Khurana, Ratna Pathak Shah, Dilip Prabhavalkar, Avtar Gill",India,"December 31, 2019",2002,TV-14,151 min,"Dramas, Independent Movies, International Movies","After accidentally killing a young mobster, a guilt-stricken police officer searches for the parents who never came forward to claim their son's body."
603,20077944,Movie,Ghayal,Rajkumar Santoshi,"Sunny Deol, Meenakshi Sheshadri, Amrish Puri, Moushumi Chatterjee, Kulbhushan Kharbanda, Om Puri, Raj Babbar, Shabbir Khan",India,"December 31, 2019",1990,TV-14,163 min,"Action & Adventure, Dramas, International Movies","Framed for his older brother's murder, a boxer seeks violent revenge against the true killer who's torn his family apart."
604,20705133,Movie,Ghulam-E-Musthafa,Partho Ghosh,"Nana Patekar, Raveena Tandon, Paresh Rawal, Aruna Irani, Mohan Joshi, Mohnish Bahl, Shivaji Satham, Vishwajeet Pradhan, Ashwin Kaushal, Satish Shah",India,"December 31, 2019",1997,TV-MA,161 min,"Action & Adventure, Dramas, International Movies","Giving up his life of crime for love, a gangster struggles with a moral dilemma when tragic events and enduring enemies take him back to the underworld."
605,21028086,Movie,Gol Maal,Hrishikesh Mukherjee,"Amol Palekar, Bindiya Goswami, Deven Verma, Utpal Dutt, Shubha Khote, Manju Singh, Dina Pathak, Pushpa, David Abraham, Asrani",India,"December 31, 2019",1979,TV-PG,137 min,"Classic Movies, Comedies, International Movies","When circumstances at work compel Ram to pretend to have a twin, his lie works – until the boss wants his daughter to marry Ram’s fictitious brother."
606,70054380,Movie,Golmaal: Fun Unlimited,Rohit Shetty,"Ajay Devgn, Tusshar Kapoor, Arshad Warsi, Sharman Joshi, Paresh Rawal, Rimi Sen, Sushmita Mukherjee, Vrajesh Hirjee",India,"December 31, 2019",2006,TV-14,148 min,"Comedies, International Movies","Between thwarting crooks and wooing the belle next door, four pranksters get in over their heads when they bamboozle their way into a couple’s bungalow."
607,20765027,Movie,Hera Pheri,Prakash Mehra,"Amitabh Bachchan, Vinod Khanna, Saira Banu, Sulakshana Pandit, Shreeram Lagoo, Pinchoo Kapoor, P. Jairaj, Yunus Parvez",India,"December 31, 2019",1976,TV-14,156 min,"Action & Adventure, Comedies, Dramas",The bond between two crooks and best friends is threatened when one learns that the other's father had a hand in his own tragic past.
608,81213885,Movie,Jaan-E-Mann: Let's Fall in Love... Again,Shirish Kunder,"Salman Khan, Akshay Kumar, Preity Zinta, Anupam Kher, Aman Verma, Javed Sheikh, Soni Razdan, Nawab Shah",India,"December 31, 2019",2006,TV-14,163 min,"Dramas, International Movies, Romantic Movies","To avoid alimony payments, an aspiring actor schemes for his ex-wife to marry an unlikely suitor, but soon realizes he may not be ready to lose her."
609,70129075,Movie,Jail,Madhur Bhandarkar,"Neil Nitin Mukesh, Manoj Bajpayee, Mugdha Godse, Arya Babbar, Chetan Pandit, Rahul Singh, Navni Parihar, Manish Mehta",India,"December 31, 2019",2009,TV-14,132 min,"Dramas, International Movies","Incarcerated for a crime he didn’t commit, a young man must navigate the crowded, cut-throat environment of prison as he awaits trial."
610,70295531,Movie,John Day,Ahishor Solomon,"Naseeruddin Shah, Randeep Hooda, Shernaz Patel, Elena Kazan, Sharat Saxena, Vipin Sharma, Denzil Smith, Kenneth Desai, Sushil Pandey",India,"December 31, 2019",2013,TV-MA,125 min,"International Movies, Thrillers","A bank manager and his wife, still grieving over their daughter who died in a fire, become pawns in a bank heist with ties to corruption and fraud."
611,17457622,Movie,Judwaa,David Dhawan,"Salman Khan, Karisma Kapoor, Rambha, Kader Khan, Anupam Kher, Shakti Kapoor, Bindu, Reema Lagoo, Satish Shah, Mukesh Rishi",India,"December 31, 2019",1997,TV-14,133 min,"Comedies, International Movies, Romantic Movies","Separated at birth, a pair of identical twins unexpectedly reunite as adults and embark on a madcap mission to take down a common enemy from their past."
612,20712279,Movie,Kaalia,Tinnu Anand,"Amitabh Bachchan, Asha Parekh, Parveen Babi, Amjad Khan, Pran, K.N. Singh, Sajjan, Murad, Kader Khan, Jagdeep",India,"December 31, 2019",1981,TV-14,173 min,"Action & Adventure, Dramas, International Movies","Jailed for robbing his brother’s unscrupulous employer, a simpleton has a transformation while in prison, emerging with a violent mission for revenge."
613,70051840,Movie,Katha,Sai Paranjape,"Farooq Shaikh, Naseeruddin Shah, Deepti Naval, Veeni Paranjape Joglekar, Mallika Sarabhai, Arun Joglekar",India,"December 31, 2019",1982,TV-PG,140 min,"Comedies, Dramas, Independent Movies","Secretly in love with his neighbor, a mild-mannered clerk is heartbroken when his much bolder, more charming friend wins her heart instead."
614,81213895,Movie,Khubsoorat,Hrishikesh Mukherjee,"Ashok Kumar, Rekha, Rakesh Roshan, Shashikala, Aradhana, Dina Pathak, David Abraham, S.N. Banerjee, Keshto Mukherjee",India,"December 31, 2019",1980,TV-PG,120 min,"Classic Movies, Comedies, Dramas",A strict matriarch's regimented household is upended by the arrival of a spunky relative who challenges the rules.
615,24073896,Movie,Koshish,Gulzar,"Sanjeev Kumar, Jaya Bhaduri, Asrani, Seema, Om Shivpuri, Dina Pathak",India,"December 31, 2019",1972,TV-14,115 min,"International Movies, Romantic Movies",A speech and hearing-impaired couple persists through unforgiving obstacles to be accepted by society and live a life of dignity.
616,81221913,Movie,Kuldip Patwal: I Didn't Do It!,Remy Kohli,"Deepak Dobriyal, Gulshan Devaiah, Raima Sen, Parvin Dabas, Anurag Arora, Jameel Khan, Priyanka Setia",India,"December 31, 2019",2017,TV-MA,126 min,"Dramas, Independent Movies, International Movies","Accused of killing a politician, a local grocer’s fight to prove his innocence reveals his lifelong struggles with injustice leading up to the incident."
617,70040912,Movie,Maine Pyaar Kyun Kiya,David Dhawan,"Salman Khan, Sushmita Sen, Sohail Khan, Katrina Kaif, Arshad Warsi, Isha Koppikar, Rajpal Yadav, Beena Kak",India,"December 31, 2019",2005,TV-14,137 min,"Comedies, International Movies, Music & Musicals","After lying to his girlfriend, orthopedic surgeon Samir must conjure up a pretend wife in this musical comedy."
618,81213979,Movie,Masoom,Shekhar Kapur,"Shabana Azmi, Naseeruddin Shah, Saeed Jaffrey, Jugal Hansraj, Urmila Matondkar, Aradhana Srivastav, Tanuja, Supriya Pathak",India,"December 31, 2019",1983,TV-14,138 min,"Dramas, Independent Movies, International Movies",A loving husband and father's joyful family life is rocked to its core upon the discovery that he has a young son borne from a past extramarital affair.
619,70018445,Movie,Mujhse Shaadi Karogi,David Dhawan,"Rajpal Yadav, Amrish Puri, Kader Khan, Shashi Kala, Priyanka Chopra, Salman Khan, Akshay Kumar, Satish Shah",India,"December 31, 2019",2004,TV-PG,158 min,"Comedies, International Movies, Romantic Movies","Samir must overcome a hostile horoscope, a hot temper and a determined rival to win the heart of Rani, the love of his life."
620,81213897,Movie,Namak Halaal,Prakash Mehra,"Amitabh Bachchan, Shashi Kapoor, Parveen Babi, Smita Patil, Waheeda Rehman, Om Prakash, Ranjeet, Satyendra Kapoor",India,"December 31, 2019",1982,TV-14,171 min,"Action & Adventure, Comedies, International Movies","While loyally defending his boss from mobsters trying to kill him, a naive, hotel bellboy discovers the family he never knew he had."
621,81213882,Movie,Phullu,Abhishek Saxena,"Sharib Hashmi, Nutan Surya, Jyotii Sethi, Inaamulhaq, Trisha Kale, Namya Saxena, Shivam Pradhan, Kimti Anand, Paras Raj Gandhi",India,"December 31, 2019",2017,TV-14,96 min,"Dramas, Independent Movies, International Movies","Struck by the lack of clean resources for menstruating women in his village, a jobless loafer braves social stigmas to create low-cost sanitary napkins."
